audioFile,option1,option2,correctOption
/enseignement/jeu/data-phonetique/yu-1.mp3,[y],[u],2
/enseignement/jeu/data-phonetique/yu-2.mp3,[y],[u],1
/enseignement/jeu/data-phonetique/yu-3.m4a,[y],[u],1
/enseignement/jeu/data-phonetique/yu-4.m4a,[y],[u],1
/enseignement/jeu/data-phonetique/yu-5.m4a,[y],[u],2
/enseignement/jeu/data-phonetique/yu-6.m4a,[y],[u],1
/enseignement/jeu/data-phonetique/yu-7.m4a,[y],[u],1
/enseignement/jeu/data-phonetique/yu-8.m4a,[y],[u],1
/enseignement/jeu/data-phonetique/yu-9.m4a,[y],[u],2
/enseignement/jeu/data-phonetique/yu-10.m4a,[y],[u],1

